file,classification,action,reason,unique,runtime,status
.DS_Store,B — GENERATED / REBUILDABLE,Removed,Rebuildable compiler cache or operating-system metadata.,No current required content,No,ignored
.env.development.local.backup,H — UNKNOWN / PROTECTED,Preserved,"Operator secrets, backup or CLI evidence; outside safe deletion scope",Potentially,No,ignored
.github/workflows/staging-backup-certification.yml,A — CANONICAL / REQUIRED,Preserved,"Active implementation, regression evidence or protected backup/DR tooling; keyword is not obsolescence",Yes,Operational/test or runtime reference,tracked
.next/,B — GENERATED / REBUILDABLE,Removed stale output; regenerate cleanly,2311 inventoried generated files; configuration and secrets outside output preserved.,No authoritative source,Generated only,ignored
.next/BUILD_ID 2,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/app-path-routes-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/build-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/build/package 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/build/package 4.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 7.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index 8.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 10.old,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 11.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 12.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 13.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 7.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 8.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/client-production/index.pack 9.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 10.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 11.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 7.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 8.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache 2/webpack/server-production/index.pack 9.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack 7.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/client-production/index.pack.old,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack 3.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack 4.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack 5.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack 6.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack 7.pack,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/cache/webpack/server-production/index.pack.old,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/build-diagnostics 3.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/build-diagnostics 4.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/framework 3.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/framework 4.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/route-bundle-stats 3.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/diagnostics/route-bundle-stats 4.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/export-marker 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/fallback-build-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/images-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/next-minimal-server.js.nft 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/next-server.js.nft 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/package 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/package 3.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/prerender-manifest 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/required-server-files 2.js,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
.next/required-server-files 2.json,B — GENERATED / REBUILDABLE,Removed; rebuild on demand,Build output; never source authority,No source content,No,ignored
