transactionId,amount,description,canonicalId
3egLbr6wBRSbx34P7danTnJD4B9arQiGXdb9X,10.021521,70252237 AMAZON - LEN N,
3egLbr6wBRSbx34P7danTnJD4B9arQiGXdbkX,52.34218,Uber Eats,
5ZEJbBDGxlH9LdP5N7MXsWAzdM4D6QszJqyRx,91.52556,671 POS PURCHASE EARNIN RE SC 9671543 349619,
6MWL63VNmqC15aQnWb9RTzwm7LdRVlfjkVKNZ,4.26607,QUEENS BAR 35 E GRAND RIVER AVE #9 DETROIT MI CARD 29602991,
71ALbxw3QKCyq47bMXPRT7a3rDdGM8I437yRX,162.69058,McDonald's,
8LGvmd5VwrIPXNGobJkMtKbpJM4yawiv5kpM7,59.521763,EFT DEBIT  MICROSOFT XBOX CA 830 08/03 TIMESTAMP,
9pn57alNVzsZlPo9475GCPpvyjEmJNizBXyAv,12.202726,UBER 588639690 RIDE 05/12 CA 12095 DEBIT CARD PURCHASE 04/04 TIMESTAMP 8102241,
aaVPX8wydZTDLVzZwAEoTNdR5yQ37JupnAJ8l,21.771215,PURCHASE AUTHORIZED ON 05/27 ROYAL FARMS 100 MONUMENT AVE A P NATIONAL HARBOR MD 0846248421604 CARD 44,
aaVPX8wydZTDLVzZwAEoTNdR5yQ37JupnAJgl,6.0424743,Krispy Kreme,
b4VwXG5Q3Ms8PVBjXEkrT9lJZ7r4E3UgPMKa4,25.983858,Planet Fitness,
dPVNXkqadLSPrVxdgo5btgGzMxNkWwio9Lz4A,66.62851,McDonald's,
geVNXGzZAgS89V4rQnMdTZGzoWgBwRuj9vRz7,145.08855,Venmo,
L7ZQar1yjkuj1GM48nNwCNal87qxXgugBVK1p,103.44398,Dunkin' Donuts,
lLVJDGa5WkIrv8KQ3EbRfz4e5Dydgmf1NDgba,48.2542,CREDIT CARD PURCHASE SMART AND FINAL #1 ANAHEIM CA DATE 12/14 15277301931256 9 CARD 5,
lLVJDGa5WkIrv8KQ3EbRfz4e5Dydgmf1NDgja,9.94589,Bojangles,
MeMR4zLGw8SGLwNobW4ZsqyQx3MEL8cbkdp38,143.92996,Food Lion,
mpVaDG4ZLKsjzvkApox4CKGxDEv1pjiRkVpxb,5.5849614,WITHDRAWAL 02178293119 POS POUR CHOICES,
NQ1MNBpbwETRpbPMkWLVuykVZ9bGe5TLaPpMP,595.10675,INTERAC PURCHASE - 67200 TARGET #052,
ogVWDGPNXzCZ38BDnEP4CBjgd3wyKZt4AW5gb,76.018364,Albertsons,
p8VlDyjpLBsLx836ZVM4sKygZGDnjLi9eAjBn,9.7853775,STOP & SHOP #25402 WEST CALDWELL MODATE 01/24 31772803806094 17096869 CARD 34321 WITHDRAWAL DEBIT CARD,
PMpjWxgXelCQgyMZxldXINvLde4x15uEjp5zq,45.473385,Starbucks,
Q1o7Md8gVqCmWXAZaqEJIP36oGXy1DirBq69v,37.474327,CHECKCARD 538036 CLEO AI IN MOUNTAIN VIEWCA 172788892 RECURRING,
qEVqDG7pX3Ipdvx8MwPjSvEQzGgMPpi8x4PwN,15.607323,Walmart,
RLgZMaEXVKIZJoAw9K4eCk4Ajpoq9mI7MmkDj,6.2822237,Walmart,
rlVKDGeyRxTJaVd4BEPXuWQAe93MrJsLm39jo,4.790203,5 PURCHASE-SIG DENNY'S 366992 EUGENE OR 6 039488,
V8AwLjnG13sZXqD7QAp6CzKgkEvVp8fbl3yx5,97.66696,APPLE 857979823 NEWKIRK #4,
vzV3Dw195Nh3jvPnx1Jrh4wvMGZNR3FaJ9eNz,20.519363,60904 PURCHASE-SIG 09/21 TIMESTAMP UPLIFT RE 9123348 562542 SC 63432961 3968766,
wBVxlGL9APU37v5wjoMbhyp8b9AJk3TAMBRkA,4.780789,Popeyes,
WEGpM7bg8xIMLXAqyxDbIwKlAnkbRNHoxJynZ,3.25206,MICROSOFT 979333884,
x3VRqGpwBjfWeZLldVM5SXnG3x85LWimgdPDL,133.55963,CARD PURCHASE PAYBYPHONE 804665947 11/19,
x3VRqGpwBjfWeZLldVM5SXnG3x85LWimgdPxL,70.61283,Dunkin' Donuts,
XlnQGemE1dT3BGMR9AJPhAv9geEXDJipJwjVa,2.8096795,POS PUR 449399193 04/07 TIMESTAMP THE PIZZA PLACE 4205 NEW YORK NY 634330,
zdqArGgxMeslZQxv9bJgcZ9M5dRmQluDj4BRM,15.466949,Panera Bread,
zdqArGgxMeslZQxv9bJgcZ9M5dRmQluDj4BxM,30.900715,CITGO,
ZKVpMZ9Dg4hGbVAWR4aXsKdwLMmZ3pinWdmMN,128.11888,McDonald's,
